Driver,Team,Q1,Q2,Q3,Start,Finish,Track,Rain,D_Elo,T_Elo,Race_Id
stroll,williams,73.323,nan,nan,17.0,17.0,Monaco Grand Prix,True,1218.89,1816.6,5
leclerc,sauber,72.829,72.714,nan,14.0,nan,Monaco Grand Prix,True,1217.35,1837.08,5
brendon_hartley,toro_rosso,73.179,nan,nan,15.0,nan,Monaco Grand Prix,True,1200.47,1834.65,5
alonso,mclaren,72.657,72.269,72.11,7.0,nan,Monaco Grand Prix,True,1308.76,1855.16,5
vettel,ferrari,71.71,71.524,70.764,1.0,1.0,Canadian Grand Prix,False,1303.61,1943.71,6
bottas,mercedes,71.95,71.514,70.857,2.0,2.0,Canadian Grand Prix,False,1238.8,2026.18,6
max_verstappen,red_bull,72.008,71.472,70.937,3.0,3.0,Canadian Grand Prix,False,1260.19,1932.16,6
ricciardo,red_bull,72.459,71.434,71.116,6.0,4.0,Canadian Grand Prix,False,1263.35,1934.06,6
hamilton,mercedes,71.835,71.74,70.996,4.0,5.0,Canadian Grand Prix,False,1315.89,2026.03,6
raikkonen,ferrari,71.725,71.62,71.095,5.0,6.0,Canadian Grand Prix,False,1286.73,1943.37,6
hulkenberg,renault,72.795,71.916,71.973,7.0,7.0,Canadian Grand Prix,False,1217.92,1889.97,6
sainz,renault,72.689,72.097,72.168,9.0,8.0,Canadian Grand Prix,False,1226.35,1891.08,6
ocon,force_india,72.577,72.141,72.084,8.0,9.0,Canadian Grand Prix,False,1210.13,1879.9,6
leclerc,sauber,72.945,72.661,nan,13.0,10.0,Canadian Grand Prix,False,1221.2,1839.97,6
gasly,toro_rosso,73.047,nan,nan,16.0,11.0,Canadian Grand Prix,False,1205.87,1838.74,6
grosjean,haas,nan,nan,nan,20.0,12.0,Canadian Grand Prix,False,1210.95,1854.0,6
kevin_magnussen,haas,72.68,72.606,nan,11.0,13.0,Canadian Grand Prix,False,1232.42,1852.89,6
perez,force_india,72.702,72.395,72.671,10.0,14.0,Canadian Grand Prix,False,1220.75,1877.14,6
ericsson,sauber,74.593,nan,nan,19.0,15.0,Canadian Grand Prix,False,1232.29,1842.24,6
vandoorne,mclaren,72.998,72.865,nan,15.0,16.0,Canadian Grand Prix,False,1217.48,1854.71,6
sirotkin,williams,73.643,nan,nan,18.0,17.0,Canadian Grand Prix,False,1197.54,1816.92,6
